stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject
0,3.283202000000074,1.5074405348247326,0.091567930413745,1.2499499999998989,0.4416489999998703,0.8083010000000286,0.6466666666667419,4.091503000000103,4.533151999999973,491,544,False,False,regular,S1
1,4.533151999999973,1.4376945668258445,0.0961352156162895,1.2666160000001128,0.4333160000001044,0.8333000000000084,0.6578947368420534,5.366451999999981,5.7997680000000855,644,696,False,False,regular,S1
2,5.7997680000000855,1.23423015258166,0.0710840606912983,1.316613999999845,0.4499819999998635,0.8666319999999814,0.6582278481013292,6.666400000000067,7.1163819999999305,800,854,True,True,regular,S1
3,7.1163819999999305,1.5394599002526514,0.0840731146156414,2.30824100000018,0.4249830000001111,1.883258000000069,0.8158844765342622,8.99964,9.42462300000011,1080,1131,True,True,regular,S1
4,9.42462300000011,1.4946114584359265,0.0855805532541841,1.2499499999998989,0.4583150000000842,0.7916349999998147,0.6333333333332363,10.216257999999923,10.67457300000001,1226,1281,False,False,regular,S1
5,10.67457300000001,1.475330144734219,0.0867115658281246,1.2332839999999123,0.4583149999998568,0.7749690000000555,0.6283783783784681,11.449542000000063,11.907856999999922,1374,1429,False,False,regular,S1
6,11.907856999999922,1.346003594881463,0.0832992353464363,1.3499460000002728,0.4999800000000505,0.8499660000002223,0.6296296296296671,12.757823000000144,13.257803000000196,1531,1591,True,True,regular,S1
7,13.257803000000196,1.6909390591262907,0.083121302969555,2.508232999999791,0.4749809999998433,2.033251999999948,0.8106312292359271,15.291055000000142,15.766035999999986,1835,1892,True,True,regular,S1
8,15.766035999999986,1.5194998143255938,0.0826916934674157,1.2499500000001262,0.4916470000000572,0.758303000000069,0.6066666666666606,16.524339000000055,17.01598600000011,1983,2042,False,False,regular,S1
9,17.01598600000011,1.4479367524457056,0.0847832986724998,1.224950999999919,0.4749809999998433,0.7499700000000757,0.6122448979592859,17.765956000000187,18.24093700000003,2132,2189,False,False,regular,S1
10,18.24093700000003,1.142039919496325,0.0768796934462754,1.258282999999892,0.4916469999998298,0.7666360000000623,0.6092715231789096,19.007573000000093,19.499219999999923,2281,2340,True,True,regular,S1
11,19.499219999999923,1.5158589395468522,0.0793785182152979,2.574897000000192,0.4583150000000842,2.116582000000108,0.82200647249189,21.61580200000003,22.074117000000115,2594,2649,True,True,regular,S1
12,22.074117000000115,1.537204849559361,0.0877233340306218,1.2666159999998854,0.4666480000000774,0.7999679999998079,0.6315789473683265,22.874084999999923,23.340733,2745,2801,False,False,regular,S1
13,23.340733,1.4985902168073129,0.0853603843947165,1.224950999999919,0.4416489999998703,0.7833020000000488,0.6394557823130073,24.12403500000005,24.56568399999992,2895,2948,False,False,regular,S1
14,24.56568399999992,1.2252182362791055,0.078499665149518,1.2499500000001262,0.3916509999999107,0.8582990000002155,0.6866666666667698,25.42398300000013,25.815634000000045,3051,3098,True,True,regular,S1
