stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,5.216457999999989,0.8070559291453236,0.0513918408587059,1.174952999999988,0.39998399999998924,0.7749689999999987,0.659574468085112,5.991426999999987,6.391410999999977,719,767,False,False
1,6.391410999999977,0.8312810795275992,0.04833627874874789,1.1832860000000096,0.36665199999998777,0.8166340000000218,0.6901408450704354,7.2080449999999985,7.574696999999986,865,909,False,False
2,7.574696999999986,0.846687446270779,0.043401352373500124,1.1749530000000163,0.42498299999999745,0.7499700000000189,0.6382978723404328,8.324667000000005,8.749650000000003,999,1050,False,False
3,8.749650000000003,0.8300667685946125,0.04670640452389396,1.166620000000023,0.38331800000003113,0.783301999999992,0.6714285714285513,9.532951999999995,9.916270000000026,1144,1190,False,False
4,9.916270000000026,0.8553787537956457,0.04833664325643687,1.1832859999999528,0.36665199999998777,0.816633999999965,0.6901408450704205,10.73290399999999,11.099555999999978,1288,1332,False,False
5,11.099555999999978,0.8691525138773171,0.054135058151786125,1.1499540000000366,0.3583189999999945,0.791635000000042,0.688405797101464,11.89119100000002,12.249510000000015,1427,1470,False,False
6,12.249510000000015,0.8370399088724646,0.04536422902415585,1.1332879999999932,0.3583189999999945,0.7749689999999987,0.6838235294117676,13.024479000000014,13.382798000000008,1563,1606,False,False
7,13.382798000000008,0.7714402844315876,0.04139309752230373,1.1166220000000067,0.3666520000000446,0.7499699999999621,0.6716417910447381,14.13276799999997,14.499420000000015,1696,1740,False,False
8,14.499420000000015,0.7504260443609811,0.03957415511057794,1.1749529999999595,0.3583189999999945,0.816633999999965,0.6950354609929019,15.31605399999998,15.674372999999974,1838,1881,False,False
9,15.674372999999974,0.7266472653699814,0.03865306558082705,1.266615999999999,0.3583189999999945,0.9082970000000046,0.7171052631578989,16.58266999999998,16.940988999999973,1990,2033,False,False
10,16.940988999999973,0.7687741966335144,0.04651809065552777,1.0999560000000201,0.341653000000008,0.7583030000000122,0.6893939393939378,17.699291999999986,18.040944999999994,2124,2165,False,False
11,18.040944999999994,0.7797758211912216,0.04871068225740689,1.1582870000000298,0.3666520000000446,0.7916349999999852,0.6834532374100416,18.83257999999998,19.199232000000023,2260,2304,False,False
12,19.199232000000023,0.47366226807189227,0.02610565284323591,2.0915829999999573,0.2999879999999848,1.7915949999999725,0.8565737051792872,20.990826999999996,21.29081499999998,2519,2555,True,True
