stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step
0,2.6332280000001447,1.3878295576441024,0.0632687254,1.349945999999818,0.44998199999986355,0.8999639999999545,0.6666666666667228,3.533192000000099,3.9831739999999627,424,478,False,False
1,3.9831739999999627,1.3738955654644598,0.05933196,1.3332800000000589,0.46664800000007745,0.8666319999999814,0.6499999999999574,4.849805999999944,5.3164540000000216,582,638,False,False
2,5.3164540000000216,1.3795068676551547,0.0535586835,1.3499460000000454,0.4999800000000505,0.8499659999999949,0.6296296296296047,6.166420000000016,6.666400000000067,740,800,False,False
3,6.666400000000067,1.3214292673523915,0.0576689991,1.2582829999998921,0.4583149999998568,0.7999680000000353,0.635761589404056,7.466368000000102,7.924682999999959,896,951,False,False
4,7.924682999999959,1.4230850932989978,0.062065926300000004,1.2832820000000993,0.46664800000007745,0.8166340000000218,0.6363636363636042,8.741316999999981,9.207965000000058,1049,1105,False,False
5,9.207965000000058,1.405704698164974,0.0639082812,1.2916150000000926,0.4749810000000707,0.8166340000000218,0.6322580645161007,10.02459900000008,10.499580000000151,1203,1260,False,False
6,10.499580000000151,1.4178299758009447,0.0694381985,1.2999479999998584,0.46664799999985007,0.8333000000000084,0.6410256410257172,11.33288000000016,11.79952800000001,1360,1416,False,False
7,11.79952800000001,1.366172293679049,0.063898578,1.2999480000000858,0.46664800000007745,0.8333000000000084,0.6410256410256051,12.632828000000018,13.099476000000095,1516,1572,False,False
8,13.099476000000095,0.9406340299709015,0.0467462097,1.3332800000000589,0.46664800000007745,0.8666319999999814,0.6499999999999574,13.966108000000077,14.432756000000154,1676,1732,True,True
9,14.432756000000154,2.5007349632433162,0.0594090558,2.9832139999998617,0.5333120000000235,2.449901999999838,0.8212290502793135,16.882657999999992,17.415970000000016,2026,2090,True,True
10,17.415970000000016,1.366937910443339,0.0603371622,1.3416130000000521,0.48331400000006397,0.8582989999999882,0.6397515527949974,18.274269000000004,18.757583000000068,2193,2251,False,False
11,18.757583000000068,1.3400614996663616,0.058082365600000005,1.3166140000000723,0.5333120000000235,0.7833020000000488,0.5949367088607639,19.540885000000117,20.07419700000014,2345,2409,False,False
12,20.07419700000014,1.3626427310131293,0.061166558100000004,1.3082809999998517,0.4833139999998366,0.8249670000000151,0.6305732484077263,20.899164000000155,21.382477999999992,2508,2566,False,False
13,21.382477999999992,1.407906315470278,0.0677236953,1.274949000000106,0.516646000000037,0.758303000000069,0.59477124183007,22.14078100000006,22.657427000000098,2657,2719,False,False
14,22.657427000000098,1.4074198914612892,0.0711333339,1.2916149999998652,0.5333119999997962,0.758303000000069,0.5870967741936631,23.415730000000167,23.949041999999963,2810,2874,False,False
15,23.949041999999963,1.4074356878384986,0.0698159646,1.308281000000079,0.49164700000005723,0.8166340000000218,0.62420382165603,24.765675999999985,25.257323000000042,2972,3031,False,False
16,25.257323000000042,1.3609206922874058,0.0647860894,1.3166140000000723,0.5416450000000168,0.7749690000000555,0.5886075949367187,26.032292000000098,26.573937000000114,3124,3189,False,False
17,26.573937000000114,1.279795278774154,0.0637612286,1.3582790000000386,0.4999800000000505,0.8582989999999882,0.6319018404907708,27.432236000000103,27.932216000000153,3292,3352,False,False
