,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
97,9.8875,1.2447,0.3414,0.0044,-0.0085,0.0043
98,9.8645,1.2447,0.3418,0.0064,0.0001,0.0087
99,9.8518,1.1954,0.3553,0.0064,-0.0086,0.0129
100,9.888,1.2081,0.3675,0.0074,-0.0215,0.0084
101,9.9115,1.2081,0.3536,0.0139,-0.0343,-0.0031
102,9.9011,1.2452,0.2925,0.0192,-0.0351,0.0001
103,9.9006,1.2809,0.2808,0.0138,-0.0191,0.0075
104,9.912,1.1968,0.3178,0.0128,-0.0162,0.0097
105,9.888,1.1959,0.3414,0.0128,-0.0311,0.0084
106,9.9234,1.2329,0.2458,0.0149,-0.0384,0.0064
107,9.8893,1.2207,0.2559,0.0096,-0.0394,0.0085
108,9.9006,1.2094,0.2315,0.0097,-0.0394,0.0064
109,9.9368,1.2216,0.1949,0.0161,-0.0265,0.0138
110,9.9242,1.2334,0.2071,0.0064,-0.0086,0.0194
111,9.8518,1.1963,0.2319,0.0064,-0.0054,0.0256
112,9.864,1.1589,0.2445,0.0065,-0.0226,0.0181
113,9.8766,1.1601,0.2087,0.0138,-0.0353,0.0095
114,9.9242,1.1952,0.1957,0.016,-0.0385,0.0042
115,9.9002,1.1845,0.1701,0.0182,-0.0374,0.0054
116,9.9002,1.1971,0.1469,0.0193,-0.0362,0.0085
117,9.9132,1.1963,0.1591,0.016,-0.0277,0.0065
118,9.8998,1.2082,0.1217,0.0075,-0.0192,0.0118
119,9.9361,1.1971,0.0988,0.0043,-0.0138,0.0223
120,9.949,1.1845,0.1343,0.001,-0.002,0.0214
121,9.9121,1.1726,0.1099,-0.0052,0.0064,0.0255
122,9.9006,1.1234,0.135,0.0,0.0021,0.0256
123,9.9006,1.0987,0.1709,-0.0032,-0.0033,0.017
124,9.8883,1.1105,0.1939,0.0,-0.0151,0.0074
125,9.949,1.1353,0.1461,0.0001,-0.0255,0.0011
126,9.9365,1.1726,0.098,0.0032,-0.0214,-0.0001
127,9.9253,1.1597,0.1336,0.0042,-0.0171,0.0042
128,9.925,1.159,0.1105,0.0031,-0.0193,0.0042
129,9.9002,1.1475,0.0967,0.0085,-0.0309,0.0032
130,9.9249,1.1495,0.0851,0.0074,-0.0214,0.0011
131,9.9243,1.2092,0.0726,0.0064,-0.016,0.0054
132,9.9246,1.1825,0.0855,0.0031,-0.0116,0.0043
133,9.8755,1.1597,0.0604,0.0053,-0.0096,0.0043
134,9.8764,1.16,0.0491,0.0106,-0.0138,0.0085
135,9.9121,1.1243,0.0855,0.0076,-0.0161,0.0043
136,9.9243,1.1472,0.0851,0.0128,-0.0235,-0.0011
137,9.9362,1.1966,0.0488,0.0085,-0.0235,-0.0001
138,9.9124,1.2329,0.0125,0.0042,-0.0138,0.0022
139,9.9124,1.196,0.0607,0.0,-0.0086,0.0043
140,9.9238,1.1835,0.0366,0.0042,-0.0128,0.0043
141,9.8994,1.1963,-0.0119,0.0043,-0.0097,0.0075
142,9.9127,1.208,0.0119,0.0085,-0.0116,0.0107
143,9.9005,1.1719,0.0247,0.0042,-0.0054,0.0107
144,9.9124,1.16,0.0122,0.0064,-0.0148,0.0064
145,9.9119,1.1714,0.0122,0.0011,-0.0001,0.0128
146,9.9127,1.1714,0.0242,0.0054,-0.0086,0.0107
147,9.8885,1.1358,0.0361,0.001,-0.0107,0.0096
148,9.9122,1.1602,-0.0003,0.0043,-0.0192,0.0043
149,9.9371,1.1597,0.0002,0.0107,-0.0191,0.0075
150,9.9124,1.1602,-0.0117,0.0118,-0.016,0.0053
151,9.9004,1.1839,-0.0239,0.0075,-0.0128,0.0053
152,9.9244,1.1719,-0.0122,0.0085,-0.0192,0.0043
153,9.9124,1.1719,-0.0246,0.0021,-0.0172,0.0096
154,9.9124,1.1355,-0.0366,0.0,-0.0202,0.0118
155,9.9009,1.1592,-0.0366,0.0,-0.0117,0.0128
156,9.9129,1.1477,-0.0484,0.0011,-0.0106,0.0097
157,9.9246,1.1717,-0.0488,0.0053,-0.0096,0.0117
158,9.9004,1.1473,-0.0486,0.0021,-0.0139,0.0075
159,9.9124,1.1479,-0.0368,0.0032,-0.0213,0.0031
160,9.9246,1.1719,-0.0617,0.0064,-0.0202,0.0021
161,9.9368,1.1723,-0.0857,0.0053,-0.0138,0.0032
162,9.9004,1.1717,-0.0732,0.0075,-0.0074,0.0064
163,9.9492,1.1963,-0.0849,0.0032,0.0043,0.0118
164,9.9364,1.1593,-0.0855,0.0011,0.0106,0.0064
165,9.9244,1.2083,-0.0973,-0.0043,0.0096,0.0139
166,9.9237,1.1473,-0.0851,-0.0106,0.0106,0.0128
167,9.9248,1.1111,-0.0731,-0.0065,0.0075,0.0096
168,9.9246,1.1599,-0.0368,-0.0107,0.0118,0.0139
169,9.9002,1.1473,-0.0366,-0.0064,0.0106,0.016
170,9.9245,1.1348,0.012,-0.0053,0.0032,0.0042
171,9.8636,1.111,-0.0125,-0.0,-0.0235,-0.0011
172,9.8756,1.1835,-0.0365,-0.0075,-0.0385,-0.0118
173,9.8514,1.0988,-0.0125,0.0033,-0.0534,-0.016
174,9.8633,1.1844,-0.0981,0.0278,-0.0652,-0.0075
