,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,9.9612,-0.5203,-0.3128,0.006,0.0186,0.0333
1,9.9566,-0.5203,-0.3081,0.0084,0.016,0.0333
2,9.9398,-0.5371,-0.293,0.0047,0.006,0.0348
3,9.9368,-0.5493,-0.2668,0.0109,-0.0033,0.0352
4,9.9537,-0.54,-0.2959,0.0122,-0.0154,0.032
5,9.981,-0.5476,-0.3249,0.003,-0.0083,0.031
6,9.9734,-0.5447,-0.3343,-0.0026,0.0115,0.0299
7,9.949,-0.5493,-0.2779,-0.0012,0.0126,0.0288
8,9.9641,-0.5906,-0.2761,-0.0011,0.0025,0.0286
9,9.9566,-0.5587,-0.3052,-0.0004,0.0048,0.0278
10,9.9519,-0.5982,-0.3005,0.0,0.0083,0.0282
11,9.949,-0.5813,-0.2779,-0.0007,0.008,0.0267
12,9.9415,-0.6057,-0.2732,0.0,0.0108,0.0243
13,9.9641,-0.5982,-0.2883,0.003,0.0055,0.0239
14,9.9641,-0.6244,-0.2808,0.0055,0.0028,0.0196
15,9.9443,-0.6226,-0.2564,0.003,0.0062,0.016
16,9.9734,-0.6395,-0.2517,0.006,0.0062,0.0136
17,9.9594,-0.6029,-0.2291,0.0085,0.0072,0.0122
18,9.9415,-0.6273,-0.2169,0.012,-0.0009,0.0132
19,9.949,-0.6329,-0.2441,0.0118,-0.0017,0.0135
20,9.964,-0.6104,-0.2686,0.0105,0.0032,0.012
21,9.9565,-0.6367,-0.2516,0.0109,0.0056,0.0124
22,9.9538,-0.6179,-0.2489,0.0085,0.0094,0.0118
23,9.9199,-0.6375,-0.2394,0.0108,0.0015,0.0139
24,9.9416,-0.6029,-0.2536,0.016,0.0021,0.0135
25,9.9416,-0.6253,-0.2319,0.0147,0.0021,0.0163
26,9.9341,-0.6395,-0.2245,0.0118,-0.0001,0.0175
27,9.9368,-0.6273,-0.2516,0.0132,0.0021,0.0192
28,9.9463,-0.6497,-0.2347,0.0152,0.0021,0.0186
29,9.9341,-0.6443,-0.2394,0.0132,0.0021,0.0188
