,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
95,10.0711,0.6958,0.1942,-0.0063,-0.0106,0.0075
96,10.0362,0.6714,0.2192,-0.0032,-0.0162,0.0085
97,10.0595,0.6475,0.1709,-0.0033,-0.0223,0.002
98,10.0472,0.6836,0.182,-0.0098,-0.0182,-0.0012
99,10.0711,0.6342,0.1704,-0.0204,-0.0279,-0.0054
100,10.0706,0.6226,0.1104,-0.0296,-0.0235,-0.0129
101,10.0945,0.622,0.1109,-0.0167,-0.0159,-0.0215
102,10.0578,0.6475,0.1215,-0.0072,-0.0107,-0.0214
103,10.0366,0.6974,0.1338,0.0,-0.0106,-0.0204
104,10.0945,0.6958,0.1099,-0.0064,-0.0043,-0.0278
105,10.0467,0.708,0.1338,0.0,-0.0042,-0.0246
106,10.0589,0.7304,0.1348,0.0,-0.0044,-0.0224
107,10.0716,0.7197,0.0971,0.0,-0.0054,-0.0233
108,10.0721,0.7563,0.1104,0.0,-0.0042,-0.016
109,10.0589,0.7457,0.1216,-0.0044,-0.0012,-0.0128
110,10.0472,0.7457,0.1221,-0.0054,-0.001,-0.0138
111,10.0701,0.734,0.0987,-0.0074,0.0,-0.0096
112,10.0706,0.7447,0.1109,-0.0054,0.0001,-0.0074
113,10.0594,0.7549,0.1099,-0.0085,-0.0043,-0.0021
114,10.0584,0.7574,0.0982,-0.0053,0.0021,-0.0053
115,10.0599,0.708,0.1343,-0.0032,-0.001,-0.0022
116,10.0584,0.7334,0.1094,0.0001,0.0032,-0.0085
117,10.0477,0.7569,0.1465,0.0042,0.0031,-0.0064
118,10.0477,0.7442,0.1333,0.0001,0.0,-0.0074
119,10.0457,0.7447,0.1103,0.0012,0.0021,-0.0044
120,10.0472,0.7573,0.1216,0.0031,0.0043,-0.0021
121,10.0467,0.7564,0.1094,0.0,0.0042,0.0
122,10.0706,0.7686,0.1221,-0.0074,0.0032,0.002
123,10.0819,0.7442,0.1216,-0.0084,0.0085,0.0021
124,10.0824,0.7456,0.146,-0.0054,0.0032,0.0043
125,10.058,0.7578,0.0995,-0.0043,0.0063,0.0097
126,10.0345,0.7447,0.1343,-0.0118,0.0031,0.0107
127,10.0598,0.7093,0.1338,-0.0118,0.0,0.0139
128,10.0829,0.7316,0.1469,-0.0053,0.0011,0.0149
129,10.0598,0.7211,0.1343,-0.0022,0.0032,0.0129
130,10.0707,0.7085,0.1465,0.0001,0.0054,0.0182
131,10.0711,0.6845,0.1709,-0.001,0.0032,0.0182
132,10.0711,0.6714,0.1587,0.0,0.0021,0.0203
133,10.0467,0.6836,0.1465,0.0053,0.0,0.0193
134,10.0467,0.6706,0.1465,0.0022,0.0,0.0235
135,10.0711,0.647,0.1347,0.0042,0.0,0.0235
136,10.0589,0.6592,0.1697,-0.0021,0.001,0.0235
137,10.0471,0.6238,0.1477,0.0022,0.001,0.0214
138,10.0475,0.6112,0.1579,-0.001,0.0,0.0224
139,10.0601,0.6222,0.1355,0.0021,-0.0001,0.0213
140,10.0837,0.5986,0.1469,0.0043,0.0032,0.0214
141,10.0356,0.6104,0.1579,0.0,0.0043,0.0224
142,10.0585,0.5623,0.1575,0.0001,0.0075,0.0213
143,10.0474,0.6226,0.1587,-0.0011,0.0043,0.0246
144,10.0715,0.5615,0.1583,-0.0,0.0001,0.0288
